AMM	Groupe	Intitule_Groupe	Substance_active
2200515	C	Substances_naturelles	Acide_pelargonique
2200526	C	Substances_naturelles	Acide_pelargonique
2200593	C	Substances_naturelles	Soufre
2200643	C	Substances_naturelles	Geraniol_Thymol
2200701	A	microorganismes	Bacillus_thuringiensis_subsp._kurstaki_souche_PB_54
2200801	A	microorganismes	Bacillus_subtilis_souche_IAB/BS03
2200899	C	Substances_naturelles	Huile_essentielle_d_orange
5100219	C	Substances_naturelles	Soufre
6200445	C	Substances_naturelles	Soufre
6600322	C	Substances_naturelles	Composition_complexe
6600323	C	Substances_naturelles	Composition_complexe
6700157	C	Substances_naturelles	Soufre
6700395	C	Substances_naturelles	Soufre
7600310	C	Substances_naturelles	Soufre
7700216	C	Substances_naturelles	Soufre
7700725	C	Substances_naturelles	Soufre
7800296	C	Substances_naturelles	Soufre
8000350	C	Substances_naturelles	Soufre
8000374	C	Substances_naturelles	Huile_de_pin_/_resine
8200489	C	Substances_naturelles	6-Benzyladenine_Gibberellines_GA4/GA7
8300063	C	Substances_naturelles	Soufre
8300488	C	Substances_naturelles	Soufre
8500351	C	Substances_naturelles	Acide_indolbutyrique
8500352	C	Substances_naturelles	Acide_indolbutyrique
8500353	C	Substances_naturelles	Acide_indolbutyrique
8500354	C	Substances_naturelles	Acide_indolbutyrique
8500470	C	Substances_naturelles	Huile_de_paraffine
8700752	C	Substances_naturelles	Sable_quartzeux
8900137	A	microorganismes	Bacillus_thuringiensis_subsp._kurstaki_souche_ABTS_351
8900685	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
9000222	C	Substances_naturelles	Soufre
9200024	C	Substances_naturelles	Huile_de_paraffine
9200056	C	Substances_naturelles	Acide_indolbutyrique
9200058	C	Substances_naturelles	Acide_indolbutyrique
9200062	C	Substances_naturelles	Acide_indolbutyrique
9200214	C	Substances_naturelles	Soufre
9200235	C	Substances_naturelles	Huile_de_paraffine
9200352	C	Substances_naturelles	Soufre
9200360	C	Substances_naturelles	Soufre
9200482	A	microorganismes	Bacillus_thuringiensis_subsp._kurstaki_souche_SA_11
9300093	A	microorganismes	Beauveria_bassiana_souche_147
9300504	C	Substances_naturelles	Huile_de_paraffine
9400462	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
9400496	C	Substances_naturelles	Huile_de_paraffine
9500147	C	Substances_naturelles	Soufre
9500341	C	Substances_naturelles	Soufre
9700002	C	Substances_naturelles	Soufre
9700114	C	Substances_naturelles	Soufre
9700355	C	Substances_naturelles	Gibberellines_GA4/GA7
9700357	C	Substances_naturelles	6-Benzyladenine_Gibberellines_GA4/GA7
9700539	C	Substances_naturelles	Soufre
9800076	A	microorganismes	Cydia_pomonella_granulosis_virus
9800096	C	Substances_naturelles	Huile_de_paraffine
9800245	C	Substances_naturelles	Soufre
9800396	C	Substances_naturelles	Huile_de_paraffine
9900123	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
9900189	A	microorganismes	Coniothyrium_minitans
9900432	C	Substances_naturelles	Soufre
