amm usages
2010501 Insecticide
2010502 Fongicide
2010504 Herbicide
2010505 Herbicide
2010507 Insecticide
2010508 Herbicide
2010509 Fongicide
2010510 Herbicide
2010512 Fongicide
2010513 Insecticide
2010514 Herbicide
2010516 Insecticide
2010517 Herbicide
2010518 Molluscicide
2010520 Fongicide
2010521 Insecticide
2010522 Insecticide
2010523 Fongicide
2010524 Insecticide
2010525 Herbicide
2010526 Herbicide
2010527 Herbicide
2010528 Herbicide
2010529 Non_precise
2010530 Fongicide
2010531 Herbicide
2010532 Herbicide
2010537 Herbicide
2010539 Herbicide
2010540 Herbicide
2010552 Fongicide
2010553 Fongicide
2010554 Adjuvant
2010555 Non_precise
2010558 Herbicide
2010559 Herbicide
2010560 Devitalisation
2010562 Non_precise
2010564 Herbicide
2010569 Adjuvant
2010583 Non_precise
2010584 Fongicide
2010585 Herbicide
2010588 Fongicide
2010589 Fongicide
2010592 Adjuv._Insecticide_|_Adjuv._Regul._Croiss.
2010598 Herbicide
2010599 Fongicide
2010600 Fongicide
2010602 Fongicide
2010603 Herbicide
2010604 Non_precise
2010605 Non_precise
2010607 Non_precise
2010608 Fongicide
2010609 Adjuvant
2010610 Fongicide
2010611 Fongicide
2010612 Herbicide
2010613 Herbicide
2010615 Non_precise
2010616 Herbicide
2010617 Herbicide
2010618 Fongicide
2010620 Herbicide
2010622 Herbicide
2010623 Herbicide
2010624 Insecticide
2010625 Herbicide
2010626 Herbicide
2010627 Non_precise
2010628 Fongicide
2010630 Herbicide
2010632 Substance_de_croissance
2010633 Fongicide
2010634 Herbicide
2010637 Non_precise
2010638 Herbicide
2010640 Substance_de_croissance
2010642 Herbicide
2010643 Substance_de_croissance
2010644 Herbicide
2010646 Herbicide
2010648 Non_precise
2010649 Herbicide
2010650 Herbicide
2010651 Insecticide
2020001 Taupicide
2020002 Non_precise
2020003 Molluscicide
2020008 Herbicide
2020009 Insecticide
2020010 Molluscicide
2020013 Herbicide
2020014 Herbicide
2020016 Herbicide
2020020 Herbicide
